,Channel,TGS2602,TGS2620,TGS2610,MQ2,MQ4,MQ7,MQ8,MQ135
0,1.0,1.1347457395249396,1.1204628824626988,1.0254237245686932,1.063076917161911,1.0171716984029198,0.999849849429138,1.0722222152565348,0.7331428689252688
1,1.0,2.8579234158579965,1.2081686309597552,1.0769230449230924,1.058333320420996,1.0516854274446892,0.9996937207054752,1.0803571085851735,0.9629032722948048
2,1.0,2.4597222080829506,1.212390637530535,1.5899653429651024,1.0931034796675416,1.0827586264055689,0.9989214146224864,1.0842105252580168,0.7873333266181384
3,1.0,2.643147266184332,1.2140762239799108,1.5220000098890147,1.0896552071765846,1.0887949218444073,0.9990712048263328,1.0883928195269446,0.8330985875877628
4,1.0,2.7648351473167336,1.2227810798225118,1.727881052463152,1.0410714210247891,1.0625000193658858,1.000836789291912,1.0666666983573998,0.92586206065472
5,1.0,2.700549398757256,1.2147059039524666,1.6927798307912856,1.0464285669675548,1.0784810211680154,0.9982978675702496,1.050476184019497,0.7492284250809695
6,1.0,1.690033212168823,1.2111272118228,1.109297093430592,1.105769235103569,1.092207790628572,1.0015659999477484,1.0480769286337226,0.7807407571370052
7,1.0,1.985943856243556,1.208127687360172,1.256510389792388,1.1115384692751504,1.0974025920706951,0.999343543331262,1.0774510116398957,0.8201550201685137
8,1.0,2.0969956747893206,1.2214075961622304,1.5204472898810542,1.0311890899529546,1.0156862624544083,0.98301882365869,1.074757301003744,0.8492063461570372
9,1.0,2.252112634308859,1.2002915284049382,1.6137457051000297,1.0381817874830332,1.0425000193900178,1.0012106566002108,1.0809999743872374,0.9034482629060052
10,1.0,2.234928329047581,1.1913105674126896,1.582508296554112,1.062499996141684,1.0428571177238048,0.9993963347744216,1.0399999893919945,1.0939394160049054
11,1.0,2.351776697263309,1.1892961526419903,1.1254079075500634,1.1000000009319872,1.0818181879950477,1.0014018731132348,1.0352380832816137,0.7805970159310552
12,1.0,2.32944166527106,1.209724182830212,1.3449152162341695,1.0826923075817836,1.0776315650798565,0.9990098982316802,1.0398058270168673,0.8215999777071753
13,1.0,1.6249134539442618,1.2026392539016644,1.2561039395044244,1.023214279228812,1.076623379282001,0.9997652698279004,1.0676470841817491,0.8439024608425724
14,1.0,1.7980315541148566,1.2085672550113458,1.492476462627965,1.0309090590434478,1.0379746996559829,0.998765428667748,1.0683168660207163,0.8956521954660314
15,1.0,2.0153508936016795,1.1976226214874297,1.6112245365825395,1.0788461575770898,1.052564107541217,1.0002506273832854,1.0160377055541605,1.0776595492861545
16,1.0,2.192000061049206,1.1885886279862414,1.6052082945792852,1.07884615757709,1.0584415522337591,1.0017326780945597,0.9295652306101296,0.8185484361346698
17,1.0,2.2631578450132723,1.1744776583277885,1.1749379877108963,1.0846153825841305,1.0753246787647694,0.998604647245134,1.041747569651447,0.8325203415311757
